List File,19-JULY5_copy.lst
Start Time,2016-07-05  16:54:48
Sampling Time,43 sec

Count,233  of  233
Particles / ml,11985

Droplet mg/L,NA
Solids mg/L,NA

Efficiency,9.0%
PPI,NA

Summary Stats,Mean,Min,Max,StdDev,% CV

Filter,Count,Count %,Volume %,P/ML,PPM

Particle Segmentation,Dark Threshold 20.00  Light Threshold 20.00
Distance to Nearest Neighbor,0 microns
Close Holes,1 iterations
Basic Size Filter,Diameter (ABD) Min 5.00  Max 10000.00  microns
Advanced Filter,None
AutoImage Frame Rate,12 frames per second
Flash Duration,25.00 microseconds
Camera Gain,0

